{first_ts=36000, last_ts=37000, value=31.0, key=190}
{first_ts=37000, last_ts=38000, value=34.5, key=356}
{first_ts=38000, last_ts=39000, value=31.0, key=278}
{first_ts=43000, last_ts=44000, value=34.5, key=385}
{first_ts=45000, last_ts=46000, value=29.5, key=335}
{first_ts=45000, last_ts=47000, value=20.333333333333332, key=986}
{first_ts=41000, last_ts=47000, value=18.142857142857142, key=318}
{first_ts=48000, last_ts=49000, value=25.5, key=471}
{first_ts=48000, last_ts=49000, value=30.0, key=384}
{first_ts=48000, last_ts=49000, value=32.5, key=266}
{first_ts=48000, last_ts=49000, value=28.0, key=394}
{first_ts=47000, last_ts=52000, value=29.5, key=257}
{first_ts=51000, last_ts=52000, value=30.0, key=438}
{first_ts=52000, last_ts=53000, value=37.0, key=736}
{first_ts=52000, last_ts=53000, value=24.5, key=318}
{first_ts=54000, last_ts=55000, value=30.5, key=695}
{first_ts=55000, last_ts=56000, value=31.5, key=743}
{first_ts=55000, last_ts=56000, value=28.5, key=424}
{first_ts=57000, last_ts=58000, value=28.0, key=559}
{first_ts=57000, last_ts=58000, value=29.5, key=644}
{first_ts=57000, last_ts=58000, value=32.0, key=774}
{first_ts=61000, last_ts=62000, value=31.0, key=798}
{first_ts=62000, last_ts=63000, value=29.5, key=845}
{first_ts=63000, last_ts=64000, value=29.5, key=867}
{first_ts=64000, last_ts=65000, value=28.5, key=827}
{first_ts=66000, last_ts=67000, value=34.5, key=1056}
{first_ts=67000, last_ts=68000, value=30.5, key=985}
{first_ts=67000, last_ts=68000, value=34.5, key=1072}
{first_ts=67000, last_ts=68000, value=37.0, key=1065}
{first_ts=67000, last_ts=68000, value=34.5, key=1064}
{first_ts=71000, last_ts=72000, value=24.5, key=766}
{first_ts=72000, last_ts=73000, value=27.5, key=914}
{first_ts=73000, last_ts=74000, value=28.5, key=875}
{first_ts=74000, last_ts=75000, value=26.5, key=1086}
{first_ts=74000, last_ts=75000, value=27.5, key=1023}
{first_ts=75000, last_ts=76000, value=32.0, key=1053}
{first_ts=77000, last_ts=78000, value=31.5, key=1223}
{first_ts=78000, last_ts=80000, value=21.333333333333332, key=1347}
{first_ts=79000, last_ts=80000, value=19.5, key=1467}
{first_ts=13000, last_ts=15000, value=18.666666666666668, key=319}
{first_ts=6000, last_ts=17000, value=16.833333333333332, key=121}
{first_ts=13000, last_ts=18000, value=18.833333333333332, key=367}
{first_ts=11000, last_ts=19000, value=19.22222222222222, key=273}
{first_ts=11000, last_ts=19000, value=16.0, key=275}
{first_ts=16000, last_ts=20000, value=19.0, key=387}
{first_ts=29000, last_ts=30000, value=33.0, key=114}
{first_ts=29000, last_ts=30000, value=35.0, key=146}
{first_ts=30000, last_ts=31000, value=31.5, key=107}
{first_ts=27000, last_ts=33000, value=17.0, key=273}
{first_ts=33000, last_ts=34000, value=33.0, key=211}
{first_ts=27000, last_ts=35000, value=18.88888888888889, key=677}
{first_ts=34000, last_ts=35000, value=33.0, key=237}
{first_ts=32000, last_ts=37000, value=17.0, key=834}
{first_ts=37000, last_ts=38000, value=37.0, key=308}
{first_ts=30000, last_ts=39000, value=16.0, key=767}
{first_ts=39000, last_ts=40000, value=32.5, key=373}
{first_ts=40000, last_ts=41000, value=34.0, key=210}
{first_ts=41000, last_ts=42000, value=30.0, key=189}
{first_ts=42000, last_ts=43000, value=31.5, key=235}
{first_ts=42000, last_ts=43000, value=34.5, key=486}
{first_ts=43000, last_ts=44000, value=37.0, key=524}
{first_ts=43000, last_ts=44000, value=33.0, key=273}
{first_ts=44000, last_ts=45000, value=31.5, key=413}
{first_ts=12000, last_ts=47000, value=23.38888888888889, key=352}
{first_ts=46000, last_ts=47000, value=27.5, key=295}
{first_ts=47000, last_ts=48000, value=30.0, key=387}
{first_ts=48000, last_ts=49000, value=29.5, key=520}
{first_ts=45000, last_ts=49000, value=21.6, key=1076}
{first_ts=49000, last_ts=50000, value=28.0, key=411}
{first_ts=49000, last_ts=50000, value=37.0, key=701}
{first_ts=50000, last_ts=51000, value=31.0, key=412}
{first_ts=51000, last_ts=52000, value=31.5, key=653}
{first_ts=52000, last_ts=53000, value=28.5, key=594}
{first_ts=52000, last_ts=53000, value=30.5, key=564}
{first_ts=52000, last_ts=53000, value=31.0, key=275}
{first_ts=54000, last_ts=55000, value=28.5, key=543}
{first_ts=54000, last_ts=55000, value=37.0, key=818}
{first_ts=55000, last_ts=56000, value=28.5, key=615}
{first_ts=56000, last_ts=57000, value=20.5, key=677}
{first_ts=56000, last_ts=57000, value=34.5, key=751}
{first_ts=56000, last_ts=57000, value=31.5, key=637}
{first_ts=60000, last_ts=61000, value=34.5, key=911}
{first_ts=62000, last_ts=64000, value=20.666666666666668, key=1446}
{first_ts=63000, last_ts=64000, value=32.5, key=902}
{first_ts=67000, last_ts=68000, value=36.5, key=1090}
{first_ts=52000, last_ts=68000, value=17.823529411764707, key=1160}
{first_ts=69000, last_ts=70000, value=31.5, key=1062}
{first_ts=69000, last_ts=70000, value=31.5, key=1009}
{first_ts=70000, last_ts=71000, value=31.0, key=1045}
{first_ts=68000, last_ts=71000, value=19.5, key=1613}
{first_ts=72000, last_ts=73000, value=34.5, key=1156}
