SpeedDeltaInterval(start: 31000, end: 36000, value: 18.5, value description: avg, key: 592)
SpeedDeltaInterval(start: 33000, end: 34000, value: 29.5, value description: avg, key: 124)
SpeedDeltaInterval(start: 37000, end: 38000, value: 37.0, value description: avg, key: 333)
SpeedDeltaInterval(start: 39000, end: 40000, value: 34.5, value description: avg, key: 355)
SpeedDeltaInterval(start: 32000, end: 33000, value: 31.0, value description: avg, key: 133)
SpeedDeltaInterval(start: 32000, end: 33000, value: 34.5, value description: avg, key: 219)
SpeedDeltaInterval(start: 38000, end: 39000, value: 19.5, value description: avg, key: 622)
SpeedDeltaInterval(start: 37000, end: 38000, value: 34.5, value description: avg, key: 356)
SpeedDeltaInterval(start: 36000, end: 37000, value: 30.5, value description: avg, key: 221)
SpeedDeltaInterval(start: 12000, end: 30000, value: 21.105263157894736, value description: avg, key: 317)
SpeedDeltaInterval(start: 29000, end: 32000, value: 21.333333333333332, value description: avg, key: 347)
SpeedDeltaInterval(start: 37000, end: 39000, value: 20.666666666666668, value description: avg, key: 347)
SpeedDeltaInterval(start: 41000, end: 42000, value: 29.5, value description: avg, key: 315)
SpeedDeltaInterval(start: 38000, end: 41000, value: 35.25, value description: avg, key: 383)
SpeedDeltaInterval(start: 46000, end: 47000, value: 18.5, value description: avg, key: 1088)
SpeedDeltaInterval(start: 48000, end: 49000, value: 33.0, value description: avg, key: 629)
SpeedDeltaInterval(start: 45000, end: 46000, value: 37.0, value description: avg, key: 634)
SpeedDeltaInterval(start: 49000, end: 50000, value: 33.0, value description: avg, key: 631)
SpeedDeltaInterval(start: 47000, end: 50000, value: 20.25, value description: avg, key: 1126)
SpeedDeltaInterval(start: 45000, end: 46000, value: 29.5, value description: avg, key: 335)
SpeedDeltaInterval(start: 44000, end: 45000, value: 29.0, value description: avg, key: 366)
SpeedDeltaInterval(start: 12000, end: 47000, value: 23.34285714285714, value description: avg, key: 352)
SpeedDeltaInterval(start: 47000, end: 48000, value: 34.5, value description: avg, key: 624)
SpeedDeltaInterval(start: 43000, end: 44000, value: 34.5, value description: avg, key: 385)
SpeedDeltaInterval(start: 48000, end: 49000, value: 30.5, value description: avg, key: 428)
SpeedDeltaInterval(start: 41000, end: 43000, value: 25.5, value description: avg, key: 382)
SpeedDeltaInterval(start: 41000, end: 44000, value: 36.666666666666664, value description: avg, key: 386)
SpeedDeltaInterval(start: 13000, end: 46000, value: 23.363636363636363, value description: avg, key: 370)
SpeedDeltaInterval(start: 45000, end: 46000, value: 33.0, value description: avg, key: 377)
SpeedDeltaInterval(start: 29000, end: 45000, value: 27.066666666666666, value description: avg, key: 660)
SpeedDeltaInterval(start: 41000, end: 43000, value: 31.5, value description: avg, key: 416)
SpeedDeltaInterval(start: 43000, end: 44000, value: 30.5, value description: avg, key: 410)
SpeedDeltaInterval(start: 41000, end: 42000, value: 33.0, value description: avg, key: 426)
SpeedDeltaInterval(start: 48000, end: 49000, value: 28.0, value description: avg, key: 391)
SpeedDeltaInterval(start: 44000, end: 45000, value: 34.0, value description: avg, key: 425)
SpeedDeltaInterval(start: 38000, end: 43000, value: 17.0, value description: avg, key: 422)
SpeedDeltaInterval(start: 29000, end: 43000, value: 21.46153846153846, value description: avg, key: 700)
SpeedDeltaInterval(start: 48000, end: 49000, value: 30.0, value description: avg, key: 384)
SpeedDeltaInterval(start: 36000, end: 41000, value: 20.666666666666668, value description: avg, key: 711)
SpeedDeltaInterval(start: 49000, end: 50000, value: 37.0, value description: avg, key: 701)
SpeedDeltaInterval(start: 47000, end: 48000, value: 30.0, value description: avg, key: 387)
SpeedDeltaInterval(start: 46000, end: 47000, value: 29.0, value description: avg, key: 418)
SpeedDeltaInterval(start: 41000, end: 43000, value: 24.5, value description: avg, key: 723)
SpeedDeltaInterval(start: 48000, end: 49000, value: 28.0, value description: avg, key: 394)
SpeedDeltaInterval(start: 41000, end: 43000, value: 21.0, value description: avg, key: 729)
SpeedDeltaInterval(start: 47000, end: 48000, value: 31.5, value description: avg, key: 371)
SpeedDeltaInterval(start: 43000, end: 47000, value: 19.2, value description: avg, key: 722)
SpeedDeltaInterval(start: 49000, end: 50000, value: 28.0, value description: avg, key: 411)
SpeedDeltaInterval(start: 44000, end: 45000, value: 30.5, value description: avg, key: 441)
SpeedDeltaInterval(start: 43000, end: 44000, value: 31.5, value description: avg, key: 452)
SpeedDeltaInterval(start: 47000, end: 48000, value: 32.5, value description: avg, key: 430)
SpeedDeltaInterval(start: 44000, end: 45000, value: 30.5, value description: avg, key: 449)
SpeedDeltaInterval(start: 43000, end: 44000, value: 31.5, value description: avg, key: 444)
SpeedDeltaInterval(start: 44000, end: 45000, value: 31.5, value description: avg, key: 413)
SpeedDeltaInterval(start: 44000, end: 45000, value: 35.0, value description: avg, key: 460)
SpeedDeltaInterval(start: 44000, end: 45000, value: 30.5, value description: avg, key: 450)
SpeedDeltaInterval(start: 45000, end: 48000, value: 17.75, value description: avg, key: 764)
SpeedDeltaInterval(start: 41000, end: 48000, value: 19.0, value description: avg, key: 282)
SpeedDeltaInterval(start: 47000, end: 48000, value: 28.5, value description: avg, key: 445)
SpeedDeltaInterval(start: 45000, end: 48000, value: 26.0, value description: avg, key: 785)
SpeedDeltaInterval(start: 43000, end: 44000, value: 33.0, value description: avg, key: 273)
